Season,Week,Game_Type,Team,Points_Scored,Points_Allowed,Location,Outcome,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards,fantasy_points,fantasy_points_ppr
2025,1,REG,ARI,20.0,13.0,Away,Win,5678,427,649,4354,29,11,59,-399,4,4,4660,2111,216,4.759579773698185,-73.71667822721197,1,17.688928001407856,183,90,49,5,366,1583,9,5,3,91,-21.504854023401517,0,35,22,8,3,427,617,4354,29,1,1,4450,2111,216,136.9355351435437,1,183,90,49,5,107.7588218930524,17.0,16.395705056394213,36.97699353947595,0,593,23,579,70,294,13,30.0,205.0,71,10,51,81,0,1,0,0,2,1,0,0,0,3,-6,9,13,2,127,900,9,4,1,13,10,19,217,79,1979,25,33,7,1,572.0,10.0,0,5,7,7,6,0,0,0,1,2,3,1,1003,348,46,36,36,0,0,17.0,0,0,0,0,0,59,1,929.0,2927,21,4,6,3,17,29,312,0,2555,1077.86,1504.86
2025,1,REG,ATL,20.0,23.0,Home,Loss,5556,332,545,3703,19,8,26,-180,5,2,4170,1871,185,4.209096397094658,-67.65811164439005,1,19.2865472082323,156,75,47,8,477,2138,17,6,4,113,-19.203365768931064,1,54,37,9,2,332,519,3703,19,4,2,4184,1871,185,65.36143829808668,1,156,75,47,8,159.5262802099821,17.0,17.053099107212603,37.43716937504882,0,642,17,471,95,429,12,57.0,366.0,97,16,173,87,1,2,0,1,0,0,0,0,3,8,-5,7,34,0,95,747,14,5,1,19,10,24,168,67,1531,32,39,4,3,732.0,14.083333333333334,0,3,11,10,8,0,0,0,0,2,2,0,1336,198,124,31,33,1,1,14.333333333333334,1,1,0,0,43,64,0,840.0,2889,34,8,6,3,17,30,231,0,2598,998.22,1330.22
2025,1,REG,BAL,40.0,41.0,Away,Loss,5711,278,422,3278,23,11,45,-293,5,3,3422,1361,141,4.510214603981408,58.83487478713206,1,20.480457999965463,122,65,43,7,507,2662,23,7,4,146,42.21306531138224,0,71,56,25,6,278,407,3278,23,6,4,3376,1361,141,76.0054389442312,1,122,65,43,7,131.49708449211334,17.0,16.749207011051606,37.22444490773612,0,649,21,499,66,250,14,30.0,189.0,101,11,242,73,1,1,0,1,1,0,1,0,5,7,-4,9,85,1,90,706,16,6,4,22,12,16,198,74,1911,30,34,4,0,581.0,13.3,0,10,11,8,1,0,0,0,0,1,3,0,1027,211,0,44,46,2,0,15.3,0,1,1,0,44,53,0,955.0,2657,24,7,11,6,6,23,159,0,2378,1053.12,1331.12
2025,1,REG,BUF,41.0,40.0,Home,Win,5613,344,495,3981,29,10,40,-298,1,1,3614,2098,196,97.06081157919404,33.636291865481496,2,24.642358618112496,154,89,61,10,547,2714,30,12,5,146,41.28521861578723,0,68,51,16,6,344,479,3981,29,4,2,3492,2098,196,161.62165664356985,2,155,89,61,9,194.1806780551505,17.0,16.300884237226732,36.91061896605871,1,576,18,440,84,359,13,36.0,226.0,92,13,140,62,1,2,0,0,0,1,0,0,0,7,-18,7,29,1,97,828,14,5,3,19,9,30,194,66,1842,19,21,2,0,455.0,10.5,0,4,7,7,1,0,0,0,1,0,1,0,712,91,0,48,53,4,1,14.633333333333333,1,1,0,0,32,49,0,756.0,2189,21,5,7,3,18,16,118,0,2011,1276.74,1620.74
2025,1,REG,CAR,10.0,26.0,Away,Loss,5292,329,515,3304,24,12,35,-256,4,3,3450,1629,170,-27.63458678505455,49.15731642453829,1,18.61399068510746,126,63,43,4,461,1977,9,6,5,109,-19.355536005205096,0,45,28,9,2,329,480,3304,24,3,1,3259,1630,170,72.52613257134817,1,126,63,43,4,147.90042670765098,17.0,15.939931416813032,36.65795199176912,0,589,18,556,65,280,9,30.0,190.0,58,15,220,64,2,2,0,0,0,1,0,0,0,8,-23,6,22,0,86,697,12,8,1,20,11,24,176,54,1304,24,29,4,1,578.0,13.0,0,6,8,8,2,0,0,0,1,0,3,0,907,198,48,27,30,3,0,14.0,3,3,0,0,110,56,0,938.0,2642,27,6,7,3,16,24,313,1,2269,916.26,1245.26
2025,1,REG,CHI,24.0,27.0,Home,Loss,5682,334,574,3991,28,7,24,-165,1,1,4944,1874,190,47.89793604026957,-34.9326547684854,1,15.659837262704675,175,88,60,7,505,2456,19,10,2,142,32.96097338097368,2,67,48,11,0,334,532,3991,28,0,0,4536,1874,190,124.25548239264124,1,174,86,60,7,50.19752884502443,17.0,15.638700983757836,36.44709068863048,0,615,27,497,66,282,12,35.0,204.0,84,23,348,75,2,0,0,0,0,1,0,0,0,12,-54,10,-5,0,112,931,7,9,0,16,4,21,231,68,1792,33,39,4,2,609.0,13.016666666666666,0,5,11,13,4,0,0,0,1,1,2,0,1295,188,95,42,42,0,0,16.0,2,2,0,0,86,60,0,958.0,2870,21,10,8,7,9,26,306,0,2424,1186.34,1520.34
2025,1,REG,CIN,17.0,16.0,Away,Win,5434,412,640,4244,36,17,36,-239,2,1,4707,1954,213,13.347914985647936,76.21323089490973,2,20.792250856799264,173,78,47,5,381,1591,11,4,2,102,7.009361444607248,0,37,27,8,0,412,608,4244,36,6,4,4565,1954,213,67.33135669777508,2,173,78,47,5,96.37968267145423,17.0,16.505436656000253,37.05380565920017,1,603,18,582,56,239,11,34.0,195.0,79,13,125,76,1,0,0,0,0,1,0,0,0,5,0,7,11,0,76,573,12,0,0,12,7,23,220,81,2058,25,28,3,0,613.0,13.0,0,4,6,10,4,1,0,0,0,0,2,1,1018,177,0,41,44,2,1,12.8,1,1,0,0,36,65,0,1019.0,3285,28,4,10,11,12,28,277,0,2788,1145.26,1557.26
2025,1,REG,CLE,16.0,17.0,Home,Loss,5709,323,558,3152,16,18,51,-345,4,3,3785,1732,134,-164.18732132383388,-106.99381667451298,0,21.033294556396974,123,63,35,7,421,1649,10,1,1,100,-22.132469403225144,1,41,31,6,1,323,522,3152,16,3,2,3591,1732,134,-52.07735890485687,0,123,63,35,7,72.23774341444802,17.0,16.034856315915665,36.724399421140966,0,562,41,577,117,486,15,53.0,377.0,113,11,292,65,3,5,0,0,1,1,0,0,0,7,-1,7,47,1,95,778,7,7,0,14,7,32,232,67,1587,24,27,3,0,657.0,14.0,0,4,10,5,5,0,0,0,1,1,1,0,922,139,0,25,26,1,0,13.5,2,2,0,0,104,91,2,930.0,4165,23,14,8,11,17,41,522,2,3423,780.1800000000001,1103.18
2025,1,REG,DAL,20.0,24.0,Away,Loss,5895,419,624,4735,31,12,31,-208,2,1,5069,2101,229,114.98646556518192,61.95415348635234,3,21.20945258960155,191,93,56,12,465,2136,18,9,5,120,-9.32354839500308,0,46,34,13,3,419,607,4735,31,8,3,4925,2099,229,161.14302527426966,3,191,93,56,12,120.10768963687434,17.0,16.457171759712825,37.02002023179897,1,615,18,552,85,365,11,34.0,231.0,108,6,120,42,1,1,1,1,1,1,1,1,0,10,-6,6,0,0,166,1309,14,6,1,20,9,13,82,82,2097,36,42,6,0,718.0,14.916666666666666,0,10,5,10,8,3,0,0,0,0,5,1,1474,344,0,47,48,1,0,15.8,2,2,0,0,88,41,0,903.0,1994,14,1,1,0,13,26,246,0,1748,1270.5,1689.5
2025,1,REG,DEN,20.0,12.0,Home,Win,5547,388,613,3931,25,11,23,-124,2,1,4488,2093,196,58.8324305761534,-95.94216000387736,4,20.03057458632232,154,73,47,7,456,2018,18,4,2,111,-9.305635628482705,0,51,36,11,3,388,584,3931,25,1,1,4381,2093,196,111.48689634796874,4,154,73,47,7,161.63876486010184,17.0,16.579021914187262,37.10531533993108,1,598,15,535,82,418,9,68.0,424.0,164,10,168,94,1,3,0,1,1,0,0,0,0,3,0,4,0,0,116,1113,6,4,1,10,6,34,481,59,1491,28,32,3,1,575.0,12.666666666666666,0,10,11,3,4,0,0,0,0,2,1,0,977,145,51,39,39,0,0,17.0,3,3,0,0,108,75,0,943.0,3573,30,11,3,9,23,29,308,0,3085,1102.14,1490.14
