season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,age
2026,ARI,DL,DT,95.0,ACT,Andrew Billings,Andrew,Billings,1995-06-03,73.0,340,Baylor,00-0033066,3051775,67760ee1-c969-488f-b449-b8c37e7e32bb,29356,10907,10756,BillAn00,17968,3207,10,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fh7q0h96fesyveoomjps",,1,REG,A01,Andrew,BIL462662,43411,32004249-4c46-2662-d818-0e385b7aa3bd,2016,2016,CIN,122.0,31.0
2026,ARI,DB,FS,28.0,ACT,Andrew Wingard,Andrew,Wingard,1996-12-05,72.0,209,Wyoming,00-0035378,3918331,65e778fa-4639-4973-bb82-c76efa2ff309,32105,13768,49268,WingAn01,21281,6416,7,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lueoe3vqsknnvax0gnmf",,1,REG,A01,Andrew,WIN207636,48508,32005749-4e20-7636-460a-d85b307ec0af,2019,2019,,,29.0
2026,ARI,LB,OLB,9.0,CUT,BJ Ojulari,Jamiu,Ojulari,2002-04-05,74.0,250,LSU,00-0039155,4429111,f4d8da18-8be8-470c-947c-d9fd3d85612c,40088,17177,124105,OjulBJ00,24092,10908,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hjtum8fdd1wbsqa2uufv",,1,REG,W03,B.J.,OJU426541,55906,32004f4a-5542-6541-4cd9-8e817d1b5514,2023,2023,AZ,41.0,24.0
2026,ARI,RB,RB,20.0,ACT,Bam Knight,Zonovan,Knight,2001-04-11,71.0,210,N.C. State,00-0037157,4427728,53df5e30-d3bd-11ec-96a0-c3471a31202c,34357,16105,97432,KnigZo00,23847,8122,4,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjxnlzlnnwlfqayeybut",,1,REG,A01,Bam,KNI764772,54835,32004b4e-4976-4772-52fc-5e9b627ab7bb,2022,2022,,,25.0
2026,ARI,LB,OLB,5.0,ACT,Baron Browning,Baron,Browning,1999-02-19,75.0,255,Ohio State,00-0036995,4241987,faf72326-5e36-4bdd-9843-5d2a6b4ee6b4,33493,15422,58095,BrowBa01,22727,7681,5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wc0wkbhogzdxgaik9fh5",,1,REG,A01,Baron,BRO806290,53534,32004252-4f80-6290-9866-45f3dae63918,2021,2021,DEN,105.0,27.0
2026,ARI,P,P,12.0,ACT,Blake Gillikin,Blake,Gillikin,1998-01-21,74.0,196,Penn State,00-0035859,4045180,53213f81-77ad-48d0-9d42-00e3633b0e90,33112,14868,45045,GillBl00,22442,7467,6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pgasxtghfviimlj55tn0",,1,REG,A01,Blake,GIL272181,52761,32004749-4c27-2181-1ded-dd496483a40d,2020,2020,,,28.0
2026,ARI,DL,DT,98.0,CUT,Brodric Martin,Brodric,Martin,1999-05-24,77.0,330,Western Kentucky,00-0038939,4365457,c0c6761c-081c-426a-b186-26ff20791e70,40122,17156,91288,MartBr00,24461,10928,3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fxo9xafpvo3nphye3bwq",,1,REG,W03,Brodric,MAR522663,55961,32004d41-5252-2663-52b8-5b30397ff3b5,2023,2023,DET,96.0,27.0
2026,ARI,DB,SS,3.0,ACT,Budda Baker,Budda,Baker,1996-01-10,70.0,195,Washington,00-0033890,3127287,5ce20f3e-0f02-4f53-a2ef-5b076361f2b1,30149,11986,11791,BakeBu00,18927,4081,9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tpr5aphfvgckzecyr5rd",,1,REG,A01,Budda,BAK070449,44848,32004241-4b07-0449-419d-4d7a3da71f8e,2017,2017,AZ,36.0,30.0
2026,ARI,DL,DT,93.0,DEV,Cam Horsley,Cameron,Horsley,2002-02-06,75.0,315,Boston College,00-0040517,,,,,,,,,1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twzqj6uora5h2qsutdxh",,1,REG,P01,Cam,HOR523584,58963,3200484f-5252-3584-ab9a-97d071865159,2025,2025,,,24.0
2026,ARI,LB,OLB,49.0,DEV,Cam Robertson,Cameron,Robertson,2004-02-26,76.0,260,SMU; North Texas,00-0041367,,,,,,,,,0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uuczxjw4ass8y7h2sij8",,1,REG,P01,Cameron,ROB304777,63631,3200524f-4230-4777-57df-bccc14ab0dd1,2026,2026,,,22.0
