SEASON,SNAPSHOT_DATE,WEEK,TEAM,TEAM_NAME,PLAYER_ID,PLAYER,POSITION,PREV_TEAM,TRANSACTION_TYPE,DESCRIPTION,SOURCE
2026,2026-08-12,33,ARI,Arizona Cardinals,,,,,WAIVE_RELEASE,Waived DT PJ Mustipher.,espn_transactions_api
2026,2026-08-11,33,ARI,Arizona Cardinals,,,,,WAIVE_RELEASE,Released DT PJ Mustipher from injured reserve with a settlement.,espn_transactions_api
2026,2026-08-11,33,ATL,Atlanta Falcons,,,,,SIGNING,Signed TE Nick Muse and RB Trey Sermon.,espn_transactions_api
2026,2026-08-12,33,ATL,Atlanta Falcons,,,,,WAIVE_RELEASE,Reverted DT Le'Meke Brockington and S Malik Verdon to injured reserve after they cleared waivers.,espn_transactions_api
2026,2026-08-10,33,ATL,Atlanta Falcons,,,,,WAIVE_RELEASE,Reinstated RT Jawaan Taylor from the active/PUP list. Signed DE Cameron Sample. Waived LS Phil Florenzo. Waived/injured OL Jack Nelson.,espn_transactions_api
2026,2026-08-10,33,CAR,Carolina Panthers,,,,,WAIVE_RELEASE,Signed G Joshua Gray. Waived TE Chamon Metayer. Reverted LB Nick Hampton and WR Malick Meiga to injured reserve after they cleared waivers.,espn_transactions_api
2026,2026-08-12,33,CHI,Chicago Bears,,,,,WAIVE_RELEASE,Waived S Brandon Hill.,espn_transactions_api
2026,2026-08-11,33,CHI,Chicago Bears,,,,,WAIVE_RELEASE,Signed OL Wesley French to a contract. Waived DB Brandon Hill.,espn_transactions_api
2026,2026-08-10,33,CHI,Chicago Bears,,,,,WAIVE_RELEASE,Signed WR Ray-Ray McCloud III. Waived/injured WR Kyron Hudson.,espn_transactions_api
2026,2026-08-12,33,DET,Detroit Lions,,,,,WAIVE_RELEASE,Waived TE Miles Kitselman.,espn_transactions_api
2026,2026-08-10,33,DET,Detroit Lions,,,,,WAIVE_RELEASE,Signed QB Joshua Dobbs to a one-year contract. Released TE Anthony Firkser. Waived DB De'Shawn Rucker. Placed DT Aidan Keanaaina on injured reserve.,espn_transactions_api
2026,2026-08-12,33,GB,Green Bay Packers,,,,,WAIVE_RELEASE,Waived G Karsen Barnhart and TE Drew Biber.,espn_transactions_api
2026,2026-08-11,33,GB,Green Bay Packers,,,,,WAIVE_RELEASE,Signed Ss Trey Dean III and Tra Fluellen. Released TE Drew Biber and G Karsen Barnhart.,espn_transactions_api
