season,week,game_type,home_team,away_team,home_score,away_score,result,total
2006,1,REG,PIT,MIA,28.0,17.0,11.0,45.0
2006,1,REG,CAR,ATL,6.0,20.0,-14.0,26.0
2006,1,REG,CLE,NO,14.0,19.0,-5.0,33.0
2006,1,REG,DET,SEA,6.0,9.0,-3.0,15.0
2006,1,REG,HOU,PHI,10.0,24.0,-14.0,34.0
2006,1,REG,KC,CIN,10.0,23.0,-13.0,33.0
2006,1,REG,NE,BUF,19.0,17.0,2.0,36.0
2006,1,REG,STL,DEN,18.0,10.0,8.0,28.0
2006,1,REG,TB,BAL,0.0,27.0,-27.0,27.0
2006,1,REG,TEN,NYJ,16.0,23.0,-7.0,39.0
2006,1,REG,ARI,SF,34.0,27.0,7.0,61.0
2006,1,REG,GB,CHI,0.0,26.0,-26.0,26.0
2006,1,REG,JAX,DAL,24.0,17.0,7.0,41.0
2006,1,REG,NYG,IND,21.0,26.0,-5.0,47.0
2006,1,REG,WAS,MIN,16.0,19.0,-3.0,35.0
2006,1,REG,OAK,SD,0.0,27.0,-27.0,27.0
2006,2,REG,ATL,TB,14.0,3.0,11.0,17.0
2006,2,REG,BAL,OAK,28.0,6.0,22.0,34.0
2006,2,REG,CHI,DET,34.0,7.0,27.0,41.0
2006,2,REG,CIN,CLE,34.0,17.0,17.0,51.0
2006,2,REG,GB,NO,27.0,34.0,-7.0,61.0
2006,2,REG,IND,HOU,43.0,24.0,19.0,67.0
2006,2,REG,MIA,BUF,6.0,16.0,-10.0,22.0
2006,2,REG,MIN,CAR,16.0,13.0,3.0,29.0
2006,2,REG,PHI,NYG,24.0,30.0,-6.0,54.0
2006,2,REG,SEA,ARI,21.0,10.0,11.0,31.0
2006,2,REG,SF,STL,20.0,13.0,7.0,33.0
2006,2,REG,DEN,KC,9.0,6.0,3.0,15.0
2006,2,REG,NYJ,NE,17.0,24.0,-7.0,41.0
2006,2,REG,SD,TEN,40.0,7.0,33.0,47.0
2006,2,REG,DAL,WAS,27.0,10.0,17.0,37.0
2006,2,REG,JAX,PIT,9.0,0.0,9.0,9.0
2006,3,REG,BUF,NYJ,20.0,28.0,-8.0,48.0
2006,3,REG,DET,GB,24.0,31.0,-7.0,55.0
2006,3,REG,HOU,WAS,15.0,31.0,-16.0,46.0
2006,3,REG,IND,JAX,21.0,14.0,7.0,35.0
2006,3,REG,MIA,TEN,13.0,10.0,3.0,23.0
2006,3,REG,MIN,CHI,16.0,19.0,-3.0,35.0
2006,3,REG,PIT,CIN,20.0,28.0,-8.0,48.0
2006,3,REG,TB,CAR,24.0,26.0,-2.0,50.0
2006,3,REG,CLE,BAL,14.0,15.0,-1.0,29.0
2006,3,REG,ARI,STL,14.0,16.0,-2.0,30.0
2006,3,REG,SEA,NYG,42.0,30.0,12.0,72.0
2006,3,REG,SF,PHI,24.0,38.0,-14.0,62.0
2006,3,REG,NE,DEN,7.0,17.0,-10.0,24.0
2006,3,REG,NO,ATL,23.0,3.0,20.0,26.0
2006,4,REG,ATL,ARI,32.0,10.0,22.0,42.0
2006,4,REG,BAL,SD,16.0,13.0,3.0,29.0
2006,4,REG,BUF,MIN,17.0,12.0,5.0,29.0
2006,4,REG,CAR,NO,21.0,18.0,3.0,39.0
2006,4,REG,HOU,MIA,17.0,15.0,2.0,32.0
2006,4,REG,KC,SF,41.0,0.0,41.0,41.0
2006,4,REG,NYJ,IND,28.0,31.0,-3.0,59.0
2006,4,REG,TEN,DAL,14.0,45.0,-31.0,59.0
2006,4,REG,STL,DET,41.0,34.0,7.0,75.0
2006,4,REG,CIN,NE,13.0,38.0,-25.0,51.0
2006,4,REG,OAK,CLE,21.0,24.0,-3.0,45.0
2006,4,REG,WAS,JAX,36.0,30.0,6.0,66.0
2006,4,REG,CHI,SEA,37.0,6.0,31.0,43.0
2006,4,REG,PHI,GB,31.0,9.0,22.0,40.0
2006,5,REG,CAR,CLE,20.0,12.0,8.0,32.0
2006,5,REG,CHI,BUF,40.0,7.0,33.0,47.0
2006,5,REG,GB,STL,20.0,23.0,-3.0,43.0
2006,5,REG,IND,TEN,14.0,13.0,1.0,27.0
2006,5,REG,MIN,DET,26.0,17.0,9.0,43.0
2006,5,REG,NE,MIA,20.0,10.0,10.0,30.0
2006,5,REG,NO,TB,24.0,21.0,3.0,45.0
2006,5,REG,NYG,WAS,19.0,3.0,16.0,22.0
2006,5,REG,ARI,KC,20.0,23.0,-3.0,43.0
2006,5,REG,JAX,NYJ,41.0,0.0,41.0,41.0
2006,5,REG,SF,OAK,34.0,20.0,14.0,54.0
2006,5,REG,PHI,DAL,38.0,24.0,14.0,62.0
